M-COSMIC: az intencionális kommunikáció mérése osztálytermi megfigyeléssel;;;;;;;;;
Gyermek:;Kis Dani;;;Megfigyelõ:;Tanár 1;;;Dátum, idõszak: ;2026.06.03
;kontextus;partner;funkció;szerep;forma;;;jegyzet;
1.;1;3;1;1;2;;;Kéri az ásót.;
2.;1;1;2;2;1;;;Nem akarja odaadni a lapátot.;
3.;;;;;;;;;
4.;;;;;;;;;
5.;;;;;;;;;
6.;;;;;;;;;
7.;;;;;;;;;
8.;;;;;;;;;
9.;;;;;;;;;
10.;;;;;;;;;
11.;;;;;;;;;
12.;;;;;;;;;
13.;;;;;;;;;
14.;;;;;;;;;
15.;;;;;;;;;
16.;;;;;;;;;
17.;;;;;;;;;
18.;;;;;;;;;
19.;;;;;;;;;
20.;;;;;;;;;
