M-COSMIC: az intencionális kommunikáció mérése osztálytermi megfigyeléssel;;;;;;;;;
Gyermek:;Mészáros Bence;;;Megfigyelő:;Nagy Eszter;;;Dátum, időszak: ;2026.06.10 délelőtt
;kontextus;partner;funkció;szerep;forma;;;jegyzet;
1.;2;1;1;1;5;;;Mutat a feladatra a füzeten.;
2.;2;1;3;3;3;;;Igen, kész vagyok.;
3.;1;3;5;1;10;;;Megmutatja az új játékot a kortársnak.;
4.;1;3;1;1;2;;;Labda! – kérte a labdát.;
5.;3;1;3;2;7;;;Bólint, amikor kérik, hogy üljön le étkezéshez.;
6.;2;1;8;1;3;;;Hol van a ceruza?;
7.;2;4;4;1;1;;;Dalt mond a reggeli kör körben.;
8.;4;2;6;2;5;;;Int az óvónőnek, hogy látja.;
9.;1;3;2;1;6;;;Nem adja oda a kockát, elhúzódik.;
10.;2;1;1;1;4;;;Képekkel kér segítséget a puzzle-hoz.;
11.;2;1;7;1;2;;;Szép! – a rajzára mutat.;
12.;1;3;5;2;9;;;Követi a kortárs mutatását a babaháznál.;
13.;3;1;1;1;5;;;Mutat a pohárra, vizet kér.;
14.;2;1;1;5;6;;;Folytatja a feladatot szó nélkül.;
15.;1;4;5;1;1;;;Hangosan felel a csoportos játékban.;
16.;2;1;1;4;2;;;Rossz választ ad a számfeladatra.;
17.;4;2;3;2;11;;;Jelelve egyetért a kutató kérésére.;
18.;2;3;1;1;5;;;Mutat a kortárs ceruzájára.;
19.;1;3;6;2;7;;;Mosolyog és néz, amikor a kortárs dicséri.;
20.;2;1;8;1;3;;;Ez mi? – mutat egy tárgyra.;
